epoch,accuracy,loss,val_accuracy,val_loss
0,0.892716646,0.470406145,0.973200023,0.093877286
1,0.942883313,0.217378601,0.978100002,0.073400967
2,0.95723331,0.16551052,0.982299984,0.060531538
3,0.963733315,0.136909217,0.98180002,0.063982606
4,0.969116688,0.112450205,0.984700024,0.053437166
5,0.972866654,0.100769721,0.983099997,0.055786382
6,0.975166678,0.091727756,0.987500012,0.049025331
7,0.978516638,0.079852752,0.987100005,0.043951292
8,0.978649974,0.076589651,0.985300004,0.048783135
9,0.980949998,0.06974148,0.987299979,0.045742139
10,0.981866658,0.06635657,0.987699986,0.039115883
11,0.982666671,0.063468874,0.987699986,0.04349314
12,0.983733356,0.060821854,0.987999976,0.040237334
13,0.984600008,0.056158632,0.989899993,0.035127312
14,0.985549986,0.052047323,0.989300013,0.038768973
15,0.98696667,0.047944952,0.986899972,0.046333376
16,0.986366689,0.048805062,0.988399982,0.04022675
17,0.986583352,0.049259756,0.987900019,0.041349303
18,0.988316655,0.04260426,0.989300013,0.037534766
19,0.989149988,0.04087989,0.99150002,0.036233034
20,0.989816666,0.037892513,0.990199983,0.035957225
21,0.989283323,0.038637664,0.990400016,0.034902401
22,0.989533305,0.038790997,0.990999997,0.032701232
23,0.990549982,0.036410794,0.989499986,0.040873863
24,0.991566658,0.03294453,0.989499986,0.040649764
25,0.991866648,0.029930564,0.990199983,0.036620364
26,0.991483331,0.02941118,0.990499973,0.036540646
27,0.991900027,0.031664178,0.99059999,0.038165987
28,0.991883337,0.029602423,0.99089998,0.037106618
29,0.992016673,0.030015271,0.989400029,0.044440135
30,0.992916644,0.027552541,0.990700006,0.039454576
31,0.992733359,0.026374241,0.991100013,0.034776099
32,0.993066669,0.025786962,0.990400016,0.04035024
33,0.992883325,0.025794094,0.988799989,0.047265824
34,0.993566692,0.02429333,0.990400016,0.039953034
35,0.993049979,0.02421646,0.990999997,0.035314031
36,0.99333334,0.024066383,0.99150002,0.039173428
37,0.993433356,0.023168618,0.989700019,0.038659323
38,0.993900001,0.022744043,0.991100013,0.032541115
39,0.994116664,0.021857956,0.992399991,0.030250344
40,0.994583309,0.020359958,0.990999997,0.032048892
41,0.993600011,0.022828568,0.99089998,0.037425261
42,0.994099975,0.020588294,0.990800023,0.034271289
43,0.994750023,0.019782912,0.991299987,0.033256274
44,0.994149983,0.021273218,0.990999997,0.039799027
45,0.995000005,0.018328762,0.99119997,0.037713785
46,0.994633317,0.020328589,0.990700006,0.041178428
47,0.995016694,0.019294742,0.990400016,0.038897406
48,0.994866669,0.0190637,0.991900027,0.041408863
49,0.995216668,0.016653173,0.990999997,0.040357903
